cell_id,lat,lon,dist_to_known_occurrence_km,dist_to_belt_axis_km,lithology_gondite_index,ferrous_oxide_index,magnetic_anomaly_norm,structural_lineament_density,ndvi,slope_deg,soil_mn_anomaly,prospectivity_label
0,20.75,78.75,43.274958137020775,30.4383206195937,0.042829315996952826,0.0948797050922904,0.14696975893215825,0.4827862874474548,0.44948670344372665,1.1913534573842175,0.08947757142800522,0
1,20.75,78.77208,41.65347052361396,28.92051106606973,0.0,0.0,0.05535590050216881,0.0,0.5548674005462849,5.726162780787567,0.0,0
2,20.75,78.79416,40.09766694709449,27.510491907733986,0.10025705676824218,0.0,0.0,0.0,0.6817990620058381,8.260688056480632,0.0,0
3,20.75,78.81623,38.61548741083538,26.22565495247397,0.12550708845815486,0.0,0.0,0.0873170255948966,0.6014720428612137,0.0,0.0,0
4,20.75,78.83831,37.215729591020576,25.085242667024954,0.0,0.0,0.35599723713565085,0.19521065110600003,0.552132289321825,1.848848447422729,0.014685429440128813,0
5,20.75,78.86039,35.908033636638706,24.109758025292432,0.0,0.09015672627662714,0.12754118755620095,0.05907132818695428,0.5512858532070902,4.303574947752088,0.0,0
6,20.75,78.88247,34.70280855715938,23.319907283536534,0.035854776277063724,0.14276394999616482,0.06957823114969514,0.0,0.3310174758863413,3.664442467130805,0.0,0
7,20.75,78.90455,33.61107937737737,22.73504632482405,0.0,0.2510365356938126,0.0,0.07158408038385802,0.42234226413012677,6.162813359233034,0.014201829614710315,0
8,20.75,78.92662,32.64423511938962,22.371258337034398,0.02201167862726495,0.07495422449085279,0.009689836622954612,0.21985830162831377,0.7061129719731909,3.9549761813122513,0.0,0
9,20.75,78.9487,31.81366391688482,22.239394789262594,0.0,0.16370645191797953,0.03540381772545145,0.3722134236221071,0.4782287956626994,2.3831428804727204,0.0,0
10,20.75,78.97078,31.13027519605541,22.34356226150146,0.1296667436010729,0.0,0.08276101106878392,0.384386080318434,0.7085424572177892,1.0988571884729192,0.16304058586114972,0
11,20.75,78.99286,30.603930356060708,22.680508841684407,0.1161557882358461,0.0,0.14993371117438115,0.17990458637963277,0.6644733801387739,0.6339066706391998,0.0,0
12,20.75,79.01494,30.242830072582834,23.240111889999238,0.02871225330987102,0.08986488888398614,0.0,0.07986954235793814,0.6717945763497208,1.7492942988549813,0.02776069904480751,0
13,20.75,79.03701,30.052931419051752,24.006805953232167,0.1535638196068103,0.0,0.0,0.17539071852817475,0.5952722611900343,2.1556235749023944,0.11657112216514229,0
14,20.75,79.05909,30.037481613677635,24.961515877160913,0.07170473629820426,0.05451787120350359,0.020254389130402044,0.009669173857224184,0.4876196500091311,4.559742848135672,0.025645171541958008,0
15,20.75,79.08117,30.1967484219414,26.08360458619741,0.0,0.0,0.0,0.0,0.5275345948662822,3.0886219281909355,0.19711441507913968,0
16,20.75,79.10325,30.527997435062428,27.40568621753285,0.054632793569444706,0.0,0.0,0.17341800569346505,0.6384199559043462,1.7360097370466834,0.0,0
17,20.75,79.12532,31.025720583476602,28.740360769251193,0.0,0.10886851926148992,0.0,0.2035781798010258,0.251278192290228,0.7450765473343481,0.0,0
18,20.75,79.1474,31.682072938275518,30.075009875493752,0.11206827208175398,0.1479673897259357,0.10086957778032027,0.39046487354278847,0.7231105606250656,1.4915673940530227,0.0,0
19,20.75,79.16948,32.48744142657685,31.409633523904247,0.0,0.0,0.39869609453147975,0.13240414716820825,0.4790930308432151,1.8080337115777196,0.526576641299336,0
